,Tweet,Cluster
2,dear agr nhi chlana hai company tho band kro apna dukan agr ham paise rhe hai service hamen chahie puri week preshan maine network prblm rhe dimag dahi hua hai agr lockdown open rhta chenj deta mai apna sim,2
2,don want continue with your cheap and stupid network also sent msg for port shame you you bloody idiots only eating customers money chhi chaep worst network and switching airtel,2
4,stop looting customers give money back,4
6,looting customers like they stole from everyone pic twitter com djr ktj,6
6,the merchant still denying that they received money wtf what more you want pic twitter com lttvko,6
6,you should stop calling yourself lte service providers speeds are just pathetic are your networks better surat looking switch pic twitter com iji,6
4,your surprise the mobile internet not single mobile operator work here properly cant even send whatsapp message whole day and have out house the market even send email please help any you,4
4,reacharged and money debited but you guys are saying that there record payment wtf how many mails how many screenshots and bank statements you want,4
2,decent network coverage for change would something special,2
3,this iniquitous give money back the money has been credited into your account how dare you deny replied merchant transaction for confirmation the merchant confirmed that service was given you,3
2,horrible network since last days parents are senior citizens and are not even able make outgoing calls and when try reach them always unreachable why one bothered resolve the issue terribly disappointed need,2
2,since last days the network having many glitches didn use phone properly phone calls network connects too service resides rajnadgaon chhattisgarh kindly look this matter urgent basis resolve asap,2
5,wtf vodafone give money back,5
2,since last days the network having many glitches didn use phone properly phone calls total network connects too service total blackout such poor service idea network ever seen,2
4,corporate,4
4,one has received call the given number was wasting time for own purchased internet connection issue not free internet connection very shameful what about refund behind poor connection internet connection and waste our precious time,4
6,#happytohelp been hours that you asked for the number but not active has been done the network has gone from bad worse and same your customer service https twitter com siddharthja status,6
2,since last days the network having glitches didn use phone properly phone calls total blackout resides rajnadgaon chhattisgarh kindly look this matter urgent basis resolve asap,2
4,need waste precious time loyal customers saw the tweet from friend the comment just waiting for current pack expire you guys carry with big banners turbo speed kbps,4
5,when getting this option then how come the caller tune was setup for vodafone number and now has deducted the amount refund the amount this was wrongly deducted,5
6,difficult for you guys find the meaning the word quality attaching the screen shot for your reference please note not expecting any improvement the service from you guys please find another word ethics will share the snap tomorrow pic twitter com ijmcnmmzxn,6
5,when have registered using airtel number why the caller tune was set for number want the refund for this for airtel free and nowhere clicked that set the caller tune for vodafone number,5
6,hey had setup the hello tune for airtel number how you guys set for number and now vodafone has unethically deducted please refund this amount and what wrong with your app pic twitter com dihzvnh,6
2,much better than airtel has fastest and best lte network across india there will crystal clear voice without buffering jio has become india largest telecom operator only because its superior service users,2
3,only know how much better service getting from vodafone,3
3,upset with the service vodafone,3
6,here special from has been almost three weeks since the cyclone and still non functional service here since evening well done pic twitter com vomhdyiua,6
4,had dmed you last month lot you didnt care answer with explanation customer care number don pick calls now truly dont wanna see you have call soon done running after sharing number,4
4,are you guys giving unlimited data plans fup plan working for west bengal want recharge,4
6,finally shifted along with family members from despite repetitive complaints was unable resolve the issue thank you you got good customer service along with good network data speed https twitter com rajatsahuji status,6
4,please stops cheating will force take legal action against this type fraud practice this covid pandemic situation suffered all human being,4
3,there reply from vodafone are paying for such nuisance and pathetic service,3
4,good see offering double data customers this period support wfh digital india movement possible add recharge queue now and get benefits post current pack expiry,4
2,there nothing any privacy you don mind buy only you singing network,2
4,haven got refund yet,4
5,don want with vodafone just want port out,5
4,please stop fooling your clients with your cheap products and offers why are you offering mobile shield insurance your clients when they are least interested settling genuine claims,4
4,think time switch,4
4,dear team have option knock the door justice,4
4,idhar bhi,4
4,can anyone help resolve issue,4
4,this the way you treat your customers this the customer satisfaction training you give your employees highly disappointed with your services #shameidea please help your new custom,4
2,#ideavodafonelimited #vodafonedown worst network service since week area pin code only indicate data network also facing call drops plz solve issue urgent bases,2
3,your service very poor recharge speed recharge more expensive but service more more worst pic twitter com bhkwgmi,3
3,guys its surprising that you still didn realise yet that your customer have given your #happytohelp farce and moved towards porting excellence service not cup tea #vodafonesucks,3
6,please see the complains raised seriously saying very dissapointed with this mobile pic twitter com omvrxn jju,6
3,know more about best offer plan for the prepaid connection please log vodafone app http srkl blpecc visit http srkl blpech for all recharges service queries chris,3
2,yup terrible network,2
3,don understand what kindof service providing customer after listening and hearing your boosting voice overs top network customer call service call person like complaining several times for network,3
5,worst net services received from vodafone vaishali ghaziabad from last month,5
4,pls read the tweet wrote airtel,4
3,better work out your service provider well,3
4,wake listen customer complain check,4
2,you did not understand point see networked mode but are getting network all the time mein iss tarha network nhi use karna chahta pic twitter com epjo ixr,2
5,internet not working only vodafone sim beside this other airtel all working properly won work for any complaints,5
3,again received the message from upc cannot generated for the reasons there are subsisting contractual obligations with your service provider please contact till why port number not getting generated,3
2,for what remove sim card select manual setting etc etc network chor company,2
6,nobody literally nobody network pic twitter com xetjskztqn,6
4,worst net services received from voda from last month viashali ghaziabad,4
7,stil facing network problem even after month complain,7
4,visit store and just port out leave vodaphone over charging the every month affair better leave,4
2,vodafone network very bad network india even customer care talk very rudely think better take mnp,2
2,they know fool every time complaint but they never take seriously but this time before porting suggest all indian brother and sister port your from this foreigners company and try use our bsnl ready suffer bad connected network then pay nation,2
2,guess have brought this into there habit troubling there customers myself being more than decade customer this company has face network issue from past months and resolution made till date #shameidea,2
4,reference number reference number different complaint has been registered,4
6,world best fastest internet service provider #shamelessjio jio #refound money pic twitter com xju hrggzp,6
4,hey all these words for you too answer also same difference nothing different,4
4,unable any calls from that,4
4,good automated replies was the name paul then tony and now roy sure will many more automated messages and you are least bothered help your clients after stealing away how people hav,4
4,also tell how can you register corporate plan without having proper documentations haven provided any document don have,4
4,don recharge this month any cost indian only request port last date pack expiring this company make fool good coverage internet speed but charge larger most,4
4,has been days since internet not working and despite being asked wait for days commitment one your senior customer care officer issue has not been fixed guess you want your loyal customers opt for airtel jio noted,4
4,team want change postpaid plan but unable your executive has registered corporate plan without knowledge and now your corporate care executive asking for noc please suggest from where can get the noc,4
6,daysleft port out from https twitter com rkskhagaul status,6
6,pic twitter com muvirn odk,6
6,pic twitter com jcqd yisuh,6
4,have shared the details via please update what the status,4
6,network then why asking for payments pic twitter com rfah,6
4,have already deactivated this via sms and have received the confirmation well but still receiving flash messages,4
4,hello please let know the details which want,4
6,network resolution only fooling customer and charging for zero services feedback from technicial team screenshot attached complaints pic twitter com fyuxpvc,6
4,how find this iphone ios,4
7,don make feel bad just tell what problem will port bcz they reply fast not like,7
5,dear vodafone required postpaid number possible chandigarh please check and reply please thanks kartik saxena,5
6,great work pic twitter com fbaek nyfr,6
5,rekha which outstanding you taking about the charges forcefully added plan redx plan and recently also received message activate plan which didn asked first you improved your vodafone technical problems becoz which false messages are coming,5
6,thats exactly how works pic twitter com cgmcv kzd,6
2,network kab tak laga rehga bata kyuki last recharge hai mera vodafone mein uske baad firse port out switch another operator,2
7,check tell what problem with sim card,7
5,team want set caller tune choice tune not available vodafone caller tune app how can set kindly advise,5
4,thanks for your kind reply kindly take appropriate action from your end possible they will calling your customers they did thanks,4
4,yarr atleast provide internet speed,4
4,#cycloneamphan disclose how pathetic can believe been customer since the hutch days and just one cyclone they play ivrs call giving all the basic troubleshooting which are useless,4
6,hey you claim have fastest network and can even make simple phone calls from home but the less expected supporting with full bars also telling safe thanks vodafone though don use much tym switch pic twitter com ami fys,6
7,not resolved problem,7
4,been more than month your team working,4
2,#cycloneamphan may and now almost june network still down with proper internet http services how going compensated paid for the recharges one from voda even response properly,2
2,are facing issue with mobile network bhayali vadodara gujrat area have many times complaints about network issue hence have vodafone postpaid red and although need use jio internet service cause are not getting calling and internet service,2
2,what provide you have work your network your signals are very poor and irritating,2
4,just cannot imagine how fed with case this would not have been corporate connection would have thrown out pathetic the word for the word feels shameful for that #vodafoneidea #worstnetwork,4
6,while going make online payment the link the mail takes this page safe proceed pic twitter com dzqlqqmkdn,6
4,why keep receiving flash messages though have deactivated,4
4,aundh pune are facing huge internet issues for past one week can someone look and fix this please our work and web meetings have hampered last week cannot continue the same this week,4
6,already one week and reply from your side pic twitter com bibhjnqg,6
3,have been promised occasions from different advisor call back complete the investigation the over charges recommend strongly nobody should use vodafone they have customer service and not know how,3
2,facing worst network experience now days your giving per day but network coverage can you please give explanation for this pic twitter com kvztbhwxm,2
4,recently bought new phone oneplus and getting error while sending messages from number did bit research and found that common error faced many oneplus users can you please look into let know the,4
4,airtel mast aata mere area,4
4,khassi hain katai,4
4,#atmanirbharbharatabhiyan,4
4,are dont know why you not established call and nternet speed sir this our digital india most irritating sector telecom,4
4,thanks for launching ways extorting money from customers disgusting practice deducting money that you follow will sooner than later would make you pay for that job look into such matter pls look into this,4
2,live undri pune look the network constraint that area last time provided details and was asked change sim card that not the solution apparently and stop sending stupid sms your network this weak,2
6,kya kar sakte https twitter com bosskrutarth status,6
4,yaar hadh hai bhi aayega log bhi nahi dere,4
4,let wait have bern been tweeting since last monday tagging literally responsible answer from vilpower and,4
2,hii know there money constraints this ecosystem but keep your customers loyal you you need keep data network system running constant speed and facing network constraints kindly help you will ask can locat,2
4,fully ready take consumer court bcz not listening this the only way resolve the issue not amount but matter chori and seena jori more over never ever downloaded any wap content why should pay for,4
4,just keep apologizing bhikari saloo,4
3,had send many msg vodafone but reply airtel service good for both network service and twitter reply compare vodafone,3
6,information about setting voicemail pic twitter com fwaxofvsph,6
4,your team best for nothing,4
6,its not saying how setup voicemail pic twitter com cemssir,6
5,vodafone just keep seeking your details and the complaint keeps lingering,5
6,brother suggest you port out coz they can only txt you and told you mention the problem but did take any timely action they have not credited recharge till now already more than hours left peeridrees pic twitter com wapxyhi,6
6,please resolve issue you can handle ask pls pic twitter com lqaqz,6
6,#vodafoneidea pic twitter com nfeii ydhu,6
4,abe chor company tumhari team kuchh kam karti bevkuf banane ayr kuchh karte tum log,4
3,please help activating voicemail service,3
4,have done the needful looking forward for better connection,4
4,the irony have been crying over poor internet connectivity since ages and today have got bill with extra charged for internet usage mean intimation connection real person talk one one and top,4
7,you don have time resolve problem tell will port sim,7
4,bhuwan com this mail sent many mail your customer care mail you can check from there,4
6,see attached email from july its been almost years and you team still don reply they just know how close complaint that they meet tat https twitter com vodafonein status pic twit,6
5,sir being not disturb situation providr alternate email methimaro com this provide actual vodafone number please understand she heart patient thanks send email help mother once thanks,5
4,vodafonein list proof provided but action taken just complain small issue have court govt let dem allow cheat consumer strict mechanism,4
7,vodafonein are des company free cheat customer simple providing service and same reply are working strict law for dem years paying den also facing problem call from dem confirm problem,7
7,mobile company free cheat customer facing problem from years pay for day but not able use speed forward complain but every check what step taken,7
4,send with details can give any date solution complain regarding speed issue,4
5,sir mobile number from vodafone whose bill unable fill many times recommended from the company prepaid number but are not doing jabarjasti sending bill bill,5
4,you should port out jio airtel much much much bad,4
5,there should store opened for vodafone sector noida,5
5,that even fair first all number got deactivated unfairly and now have move from prepaid postpaid had been vodafone customer for more than years and this how you reward for loyalty,5
3,you think that dwnload wap content then send the link that opened #worst service provider ever #now port other service best,3
2,have been trying complaim for the last days but one responding stuck due network issue kindly help otherwise will cause some serious consequences neither network showing nor internet working kindly help,2
4,number was disconnected march without any reason during the lockdown stores were open and hence got help once the stores opened raised query and was informed that get back number have move over postpaid and pay more than rupees every month,4
4,this the complaint number not explaining issue again again check your records and find executives with whom have talked and give resolution asap,4
6,this for you all pic twitter com akxxdon,6
7,massive mimo and turbonet very bad idea because indoor coverage very bad pcmc chinchwad bijlinager why are you not solved the problem,7
6,cheating customers with #redx plan charging exit fees what about their network poor and someone wanted port https twitter com gauravdcb status,6
5,charge that too for wap how can you justify what wap the way can see any record deduction and how much data used this how vodafone looting money use only wifi,5
6,https twitter com njanapj status,6
3,internet service damn worst can even watch videos and play ludo #lastdayswithvodafone,3
4,data speed very slow location last got closed without informing please get resolved asap else won take much time port out btw what the procedure and how much time normally takes port,4
2,you are the worst network provider the history and present time aswell will rate leave india soon you morons,2
4,where you internet home indoor your internet not work many time complaints why pay for recharges,4
6,vodafone per day unlimited data calls msgs signal pic twitter com mxekfvyfxc,6
4,yes unhappy,4
6,vodafone sucks pic twitter com kkrhlhek,6
6,the problem still same getting kbps speed need help https twitter com sahanispeaks status,6
6,vodafone sucks pic twitter com nzlr elk,6
5,vodafone sucks,5
4,have complaint don need some useless information,4
6,cheating there customer the name mobile shield have send multiple reminder issue response think should file fire against vodafone for #fraud pic twitter com utn syh,6
4,sakali tar shivay navhti,4
7,after that have tweeted has started going will connect you myself problem arises again thx,7
7,there very bad internet speed area kajgaon purani bazar jaunpur what are doing service very poor and problem not resolve hrs will port what think,7
4,yes they are special looting people absolute fraud same type reply every time bogus customer care and their executives not reachable everytime moreover they will not confess that they don have infrastructure betterment connectivity,4
4,are your agents are not enough smart really tough understand that want call been more than days have requested call over mail and tweet both what you guys want please tell please charge for that,4
4,you are neglecting the message box dont act like hero,4
2,struggling with connection indoor network pathetic irrespective the complaints raised nothing has been done resolve,2
5,this has been bad experience with vodafone all these years more with you idiots,5
4,when will you stop charges fraudulent ways for mobile number you have charged messaging charges also when asked your store what kind charge this they said they have idea also was charged march bill,4
4,see the nonsense and robotic reply vfi agent sending mails since after days got robotic reply told them this not valid charges please call understand detail then again they,4
4,are hoti yahan,4
4,taking disadvantage the pandemic situation voda idea stores closed call customer care non existent ivr useless what only works properly payments and recharges,4
2,bhai video load hota tumse kya wahiyat network,2
2,waste network waste waste waste worst network for sim replacement vodafone charging rupees,2
4,guess you will meeting consumer court now its height patience and ignorance towards ypur customer you should now face comsequences,4
4,best stupid customer executives the world,4
4,please contact have given jio number one your senior named heena,4
5,vodafone customer care myth doesn exist,5
6,sake privacy mobile shield insurance scams pic twitter com yqqxbdgio,6
5,mobile telecom companies are ready launch technology india first learn provide full networks india vodafone your internet working excellent outside but soon start using inside room than internet services why #internet,5
2,cheating with #redx plan for making money pay there dues and charging for network,2
4,#fuckoff,4
5,vodafone the worlds best chor company anyone read this from vodafone try contact thanks,5
6,pic twitter com kjmiqvcrbx,6
3,really disappointed with your service you have not fixed the problem even after complaint poor service,3
6,ranjan lahiry pin there are more than jio customers all same prob difficulty only made yearly subscription march unused amount they return using jio from day https twitter com vodafonein status,6
4,what kind this fraud business running,4
4,hello account yet not credited,4
4,try bsnl for incoming only sim cards,4
4,when you are going launch wifi calling,4
6,#eakkahanihaijosaabkosunanihai after several complaints twitter and instore and response from you people made this for you and don worry gonna make this thing viral now watch this #yalgaar #givesambhavjainsnumberback pic twitter com bxxgjhk,6
2,there network can make receive calls but still continue pay the bills time vodafone can improve its network then must waive off the bill the least,2
4,#scam #vodafonescam neither the talktime unlimited nor the data unlimited but the name the plan unlimited the sad thing one incouraged recharge there app however nowhere mentioned that there cap,4
5,mar mar mar previous complaints for the same issue with resolution and now new complaint when will vodafone take seriously,5
4,the issue not fully resolved last recharge with thanks really india have telecom ministry can not take class due slow speed even can not pay online for speed issue such shame,4
4,why are you scuking your services now unable even call,4
4,sir sorry waited for years but everytime gave fake promise are not upgrading data speed last three years either solve this issue will port out and your customer care executive also misbehaved,4
6,sir this the speed connectivity and that too city belagavi kanrantaka how that you are confident about connecting gram panchayats and our villages they charge yet give such pathetic speeds #digitalindia pic twitter com rmhnexv,6
4,internet very slow can even browse and also they automatically deducting some amount from main balance kepp calling the customer care,4
6,today june still luck resolving issue one even called know issue pathetic pathetic pathetic https twitter com pari status,6
2,and both your network suck the core are living and can connect normal internet the city area sms both aatey badi badi baato waale know you need internet more than ever all bullshit,2
5,you told correct the errors early basis but after many follow ups unable see any single reply from your side this way you will make your users happy think you don want part vodafone family then all will switch other networks,5
4,done please help reverse the incorrect transaction bucks matters lot for especially during such pandemic and crisis dad and brother have lost their income and the only earner since past months please help,4
4,sir please look into don know why activated the double cost plan number without informing,4
4,bhul gye,4
4,sure made mind opt your services but first have check either you who providing better speed area then will take final decision,4
4,you guys really want lose your customer,4
6,till then not solve problem take action immedeatly https twitter com vodafonein status,6
5,have been using vodafone postpaid from last years automatically guys change the plan amount already complaint times previously kindly switch number vodafone prepaid this month else have switch,5
5,cheated vodafone twice once lying abt charges plan and occasion sending bill times monthly plan,5
4,should penalised for closing the complaints without asking the customer wheather actually resolved not such shameless that this everytime when someone complaints abt anythng,4
2,network getting worst day day switching jio now,2
4,opt for airtel rather,4
3,respond #customer unable resume service area paid months advance amount but internet requested for cancellation and refund but response #fraud #internet provider,3
4,when contact via mail that was pathetic experience,4
4,yes trying connect with jio and thanks for suggestion,4
4,you are right bro agree with #boycuttvodafonein,4
3,this ridiculous pathetic service ever experienced,3
7,number since days internet completely down spoken with call center team per their guidance done everything but still problem same even trying contact via mail but proper solution yet,7
4,still facing the same issue solution still,4
2,are town thousands but jio services are not available desperately waiting for the jio network our area hope that #naye india naya jio will avail their services quickly,2
3,actually have decided that will change service provider means port req number,3
3,don try make fool internet connectivity clearance voice calling worthless service requested all indian vocal for local port from this out sider company they not provide better service and charge lot more all company,3
4,thanks now its resolved,4
4,sir namaste you help lot for loving mother age heart diabetic heart patient this drastic tensious coronavirus situations please help her full talktime plan internet for doctor families please advise twitter,4
6,you guys don even pick calls what this tried contact too but still you guys ignored comments your posts and didn see inbox really too much disappointed with you guys https twitter com vodafonein status,6
2,sun apne faltu promise karna band kardo otp mint liye valid hota hai tumhare vodafone network par mint baad aata hai kya chutiya hai tum logo,2
4,thank you have already ported airtel,4
4,sun pahle net speed thik kar uske bad recharge karwaaye,4
4,sent pls chk,4
2,what helpline option should choose for network issues,2
5,vodafone idea turbo net speed meri aap logo vinanti hai desi use kare aur vodafone bahiskar kare pic twitter com nzdzflcqpr,5
4,please help port number currently using postpaid services and have say the services #airtel getting worse day day,4
4,any lease line broadband option ashadeep greens vatika road pin jaipur need urgent connection,4
4,caller tune not ringing,4
5,not able activate upi from registered vodafone number can you please look into the earliest,5
4,this appears fake news the link not found moneycontrol site,4
4,your team just forwarding different numbers for recharge details have recharged multiple times and not getting required balance let know this shall forwarded trai with consumer fraud concern,4
4,could you guys help any chance,4
3,sorry sir cannot play any videos because wonderful service provider,3
4,please check the hope will resolve issue asap,4
2,same condition till time please solve the issue another trying port other network,2
5,know what the max speed vodafone can provide the moment kbps that not the bad part they charge for days for that speed,5
4,want port postpaid number airtel prepaid possible what the procedure,4
4,get that this the reason that have tagged,4
5,awaited however even airtel vodafone aren working home delhincr use their internet calling services roam out home move around climb second floor #fakeindiasfastestnetwork #networkproblem,5
2,can talk here man far know you have make sure that not more than calls drop your network but damn only connects and let not even start about vodafone super fast your dreams only the first year was good from there has been only downhill,2
6,https twitter com lahiri ranjan status,6
6,https twitter com sivakum status,6
6,https twitter com abdulkadir status,6
7,internet very slow and facing this problem from long time sometimes even shows please look into,7
4,please don waste your time talking them they don have solutions per our problems are their feature not bugs,4
7,please call dropped problem solution sherani abad tehsil deedwana dist nagaur rajasthan otherwise all village going airtel,7
6,there aren any deductions showing that app kindly check your end and refund the amount pic twitter com zowjs kbdm,6
3,you will never help your lazy and not capable improve service from last years how much more years you need improve you service main city kanpur you should ask your customers port you are unable resolve problems and not able provide good service,3
2,bad network,2
2,you are not ready provide good network and you talking about rewards points hahahahahahahahaha funny,2
2,very poor network kanpur nagar since months internet speed too slow like,2
4,okay let wait and see,4
4,dont even get refund for previously callertune deduction,4
4,sms showed irregularity delivery and inconsistency product price like grocery products shop there are many more points expose when will reach there all papers will handed over right authority have not availed the facilities why should pay,4
4,appellate staff could not reply the following points sms are sent stop the services complaint was registered about sms replies from customer care that vas are activa,4
2,you understand chronology did say that live alone and cannot give you alternate you guys will need figure your own network inorder reach,2
5,facing many issue vodafone they are not all responding would like port from please help out,5
4,miscellaneous,4
4,guys understand situation all doing waiting only patience has its own limit,4
6,not single response even after sharing the numbers pic twitter com lofhyhkgll,6
6,#awesome please check #vodafoneidea providing different validity pack #boycottvodafone pic twitter com hujdhwnxfd,6
6,https twitter com abhilesh status,6
5,sir not recharge amount your vodafone offer amazon prime activation offer please resolve this,5
4,can you please give number where can actually reach customer are and resolve issue pending since last months going through lot difficulty services are barred though the payment made and receipt mailed,4
6,see the results this home will plz something bcz internet works good only few days and after that this shot happens pic twitter com xqzouqebtv amrapali market,6
6,thank you for providing completely unreliable service during these times makes wfh adventure after all who wants work peace these days pic twitter com vybvdy ylq,6
6,see the results this home will plz something bcz internet works good only few days and after that this shot happens pic twitter com bcbuvtsm amrapali market,6
6,looking for changing the network operator who provides best data speed locality pic twitter com myoce,6
4,have the needful,4
4,thank you pia but just deleting the number from the tweet won help let know the actions been taken from your end apart from informing your team,4
4,bhai chor hai yeh,4
2,what will give excuse slowest network west #delhi even representative calls upgrade the plan for better speed what mockery make yourself will rectify called #internet #speed like,2
4,they giving good profits stocks,4
6,nobody has cared reach out yet for resolution issue https twitter com vodafonein status,6
3,tried contacting customer service many times but they never pick the calls waited more than minutes for them receive after receiving said them issue but they said its not their problem such disgusting service vodafone,3
2,corporate don have any network from last five days mail every day for solution but still response,2
6,dnt know taking things seriousy day responce #happytohelp https twitter com vodafonein status,6
2,vodafone one the most worst network provider never got stable connection area recharged over the last months but couldn use bit calls drop everytime internet speed slower than tortoise and customer services never pick calls,2
4,not able use internet since days location,4
4,you are really horrible platform and customer care just nightmare,4
4,when would you resolve the issue today june and the issue remains the same hello your complaint dated jun with reference number registered assure resolution jun,4
2,scam http now business head releases press note public but the customer care has one answer just the ivr numerous post and mail twitter remains http unanswered network stills doesn work nor will compensate,2
4,#pgportal,4
2,experiencing too worst network services from last days still getting #worst network plz improve service else only option for port another,2
4,any update request,4
4,scripted response lol #vodafonesucks #vodafoneideasucks #fraudster #frauds,4
3,hold outgoing internet services that too for fraud done your executive hopeless service certainly would like port out another service provider,3
4,only pretend like halping actually don give,4
4,the signals are pathetic kailashpuri palam incoming outgoing calls possible internet speed awesome getting speed sarcastically have complained about the same your executive made calls reach can you look into,4
6,pic twitter com qvp,6
6,super hero zoozoo pic twitter com ogrbuuwk,6
4,getting calls now but lot call drops and slow internet not sure need open another ticket its part the same,4
4,please tell the port cost you take,4
2,well the data standards have been radically transformed for getting data network and team says this the best network coverage can provide #fraud #vodafonedown pic twitter com orwpyhd,2
6,getting network kolkata area after the rain like seriously kolkata getting then what would the situation rural areas should have recharged instead pic twitter com xzozqelsi,6
4,moreover not not going login page and shows connectivity issue server,4
3,done that well but still not able see the service details from servify,3
4,how can you update postpaid plan without consent any notification,4
4,error entered incorrect digit and recharged wrong number that number anyways inactive can you please reverse the transaction cannot afford loose bucks during such crisis please,4
2,jaara apne kutte bole kabhi meri gali mein ghoomein worst ever idea network and now illegally rejecting porting request,2
4,unsuccessfully trying contact your helpline request portability,4
5,shared all contact details with you guys but haven received any sort information from your end guess over evaluated vodafone,5
4,resolution issue already sent outgoing calls blocked even though plan active,4
2,#airtelspeedtest airtel airtel very poor network area network show area complained many times but response don use airtel use because network speed very good pic twitter com rtrqda,2
7,sent you all details kindly resolve problem priority,7
5,dear vodafone team puk blocked number which showing switch off alternate number call anytime,5
6,finely complete successfully referrals wish win hey enjoying exclusive offers deals and managing and friend https myvodaapp ideacellular com tracker aid cid pic twitter com dsbyi,6
4,hey okay have ported out #thankyou,4
2,pathetic network services belgharia kolkata you guys are touching new low every day,2
4,done thanks for reply,4
4,already done that twice now call back anything from your side,4
5,trai are corporate customer vodafone idea having cell numbers june request voda idea convert postpaid pree payed but they suspended the services paid dues june need fast installation ser,5
4,hello team have already shared the number over didn got any reply till now,4
4,happy see last response after continuous days hope all our sms dlt woes will sorted outsoon,4
2,network pathetic kanjurmarg railway station,2
4,please solve soon thank you,4
4,already gave after writing number emails and getting robotic replies with different names thanks for your concern,4
3,thirdclass service internet for last days and nobody bothered check this how years old customers are treated even nodel person not bothering reply despite sent email don opt youbroadband service,3
4,its emergency unable use phone incorrectly with ultd calls only days instead days call has expired prematurely this open looting cheating tweeting daily since may but resolution refu,4
6,this speed for you not for can better than this pic twitter com gjhvtg,6
2,please improve your network connection and solve the network issue,2
7,will problem solve permanently just yes,7
4,need better plans for postpaid using postpaid plan whose internet connectivity dumb postpaid plans cost are over the charts,4
7,dear sir call draf problem very high here also network connection single week faking lots problem plz some need fully calling pin code village and post pachokhar,7
4,done with current provider family plan connection you can accept porting request and get sim delivered would more than happy part your family will port out all connection single provider,4
4,till request not solved,4
7,pin please resolve problem immediately,7
4,dear team which number you guys tried call plz let knw,4
3,instead calling trying sell redx after complaining abt netwrk issue first improve your internet quality most #pathetic service and net quality you posses #bakwasservice #scamers #shame #hopeless,3
4,akshay bro over charging chkar baea jeada pase thagne chakr,4
5,vodafone shameless nature,5
4,your services are pathetic and self made policies are even worst your application also down market and you are zero customer care,4
4,you strictly need change your response text because every time its sounds the same that just some words without any sense responsibility next time type something sensibly that infers commitment,4
6,done that but that doesn provide any relevant information pic twitter com qtwzbcqrxp,6
3,your service sucks redx plan pathetic your service executives are useless give upc want port indian buy indian,3
2,bro this not location specific they have same pathetic network and service through out the india myself struggling with data network issue front last days and resolution #vodafonedown #fraud,2
4,please look into this issue hasn been resolved yet,4
4,thanks harsha query got addressed and the amount got reversed the issue resolved thanks,4
4,shared,4
4,manas city indira nagar lucknow experiencing low signal strength for the last two three years appears subscribers are low hence company doesn finds profitable venture out had complained earlier with helpline but,4
5,fraud chor and cheater vodafone company,5
2,oops was gonna get red because said get priority network and better coverage well now know complete fraud never coming back here,2
6,pic twitter com jkhqseffns,6
5,don have any orher vodafone number please help soon possible,5
6,day resolution from #vodafonesucks #vodafoneideasucks #frauds https twitter com saggar status,6
2,after having postpaid connections including corporate connection vodafone not resolving network issues neither addressing concerns can only pray for prepaid customer those having network issue redx plan #vodafonescam #happytohelp myth pic twitter com bsf vmhymm,2
3,postpaid coustomer the internet connectivity pathetic and one cares take actions against complaints vodafone what the point paying when you not able provide the promised service getting worse,3
5,requested port from vodafone postpaid jio how claim advance amount paid security deposit,5
2,there alot issues with vodafone network shailendra nagar dahisar east mumbai can you fix your internet speed and call drop issue shailendra vidyalaya,2
4,internet services are down since wednesday day cyclone nisarg made landfall raigad,4
2,very pathetic network mungrabadshahpur jaunpur full network bars but downloading speed please look into this happening since week,2
6,not understanding policy and terms #myvodafoneapp #vodaidea you mention free cost and you are sending msg chargeable please update your policy pic twitter com phqjrsots,6
5,want port vodafone number airtel postpaid connection fade with the poor service provided vodafone recently not getting connection sometimes its showing,5
4,needs fast action suffering from last days alternat number and corporate number you people had block all mail ivr regarding this already suffered lot,4
6,will you pls clarify kounsa hain pic twitter com yni eufh,6
4,just port,4
2,need port out but every time you block request please help don want stay you network stop blocking port out requests,2
2,dear please try improve your network soon possible every day the internet going slow face too many problems for viedo call and using internet solve all these probelm soon possible,2
4,dear kindly bring your data and voice services par with other peers give you month postpaid connection but you are not giving back better http services needed will approach consumer court competition commission india,4
2,delhi airtel better network right,2
4,there must #vadafone recommend properties the market,4
7,got the same replies many times doesn mean anything but you say you take time you want but send the zero rupees bill till resolution the problem also revise last month bill soon possible all payments are hold,7
4,don work net http banking internet not working properly,4
6,pic twitter com ctbmkjcib,6
4,fraud company cheated they told that without changing plan they will update sim from today they told that sim can update but plan not have call recordings well mail from there end will consume,4
6,been moe than tweets still you haven called regarding security deposit you cheater still haven got and you guys are cheating your customers very well this how you earn isn https twitter com vodafonein status,6
4,same for will changing prepaid and then airtel #byebyevodafoneafterlockdown wrote email and got robotic replies,4
4,the provided link doesn work,4
4,worst that the call center staff don have clue the services which have been charged for,4
4,have port now,4
4,same for due locked down could not out now waiting for the store open then change prepaid and then airtel #byebyevodafoneafterlockdown,4
2,guys fed with your network had made repeated complaints for network issue residence but proper response from your side never works pls help,2
4,what this,4
4,this kind services never expected have paid all dues feb requested for suspension number have mails and confirmation from legal department now from march again getting charged pathetic services and staff,4
6,https twitter com harvishah status,6
2,worst network have complain multiple times that internet not working properly and still did not got any resolution now when want port then you guys rejecting request requested three times for port pathetic experience,2
4,thank you for your response the matter have share the details over please look into the matter and the needful thank you,4
4,this the strategy for keep floating the market looting their subscribers plz make refund instant,4
